Level 2,Level 3,Level 4,Level 5
1. Financial Independence,,,
1. Financial Independence,KR,,
1. Financial Independence,KR,Cashflow,
1. Financial Independence,KR,SMSF,
1. Financial Independence,KR,SMSF,Quarter Rebalance
1. Financial Independence,PRJ,,
1. Financial Independence,PRJ,Biodanza eBook Editor,
1. Financial Independence,PRJ,Biodanza eBook Editor,Touch base with Myrthes
2. Becoming a Didact,,,
2. Becoming a Didact,PRJ,,
2. Becoming a Didact,PRJ,A empresa no tempo do amor BR,
2. Becoming a Didact,PRJ,A empresa no tempo do amor BR,Decide on final format
2. Becoming a Didact,PRJ,A empresa no tempo do amor BR,Pay designer
2. Becoming a Didact,PRJ,A empresa no tempo do amor EN,
2. Becoming a Didact,PRJ,A empresa no tempo do amor EN,Batch Translate by chapter
2. Becoming a Didact,PRJ,A empresa no tempo do amor EN,First revision (Claudio)
2. Becoming a Didact,PRJ,Biodanza Clinica,
2. Becoming a Didact,PRJ,Biodanza Clinica,"Print, sign and send paper contract"
2. Becoming a Didact,KR,,
2. Becoming a Didact,KR,CBR24-TUE T2,
2. Becoming a Didact,KR,CBR24-TUE T2,Prep remaining classes
2. Becoming a Didact,KR,Tree of Desires,
2. Becoming a Didact,KR,Tree of Desires,Consolidate answers
2. Becoming a Didact,KR,Tree of Desires,List exercises and playlist in Confluence
2. Becoming a Didact,KR,CBR24-TUE T3,
2. Becoming a Didact,KR,CBR24-TUE T3,Schedule meeting with Rodrigo
2. Becoming a Didact,KR,WRK24-06 SYD,
2. Becoming a Didact,KR,WRK24-06 SYD,Rename and clean SYD Board
2. Becoming a Didact,KR,WRK24-06 SYD,Add venue hire
3. Mental Physical Health,,,
4. Coaching Practice,,,
5. SW Engineering,,,
